Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,27.5,27.700000762939453,26.799999237060547,27.299999237060547,23.59949493408203,722345
2021-01-05,27.100000381469727,27.450000762939453,27.049999237060547,27.100000381469727,23.426607131958008,478053
2021-01-06,27.450000762939453,27.450000762939453,25.950000762939453,25.950000762939453,22.43248748779297,1255970
2021-01-07,26.200000762939453,26.600000381469727,26.049999237060547,26.200000762939453,22.648601531982422,675522
2021-01-08,26.5,27.100000381469727,26.299999237060547,26.799999237060547,23.167268753051758,619752
2021-01-11,27.299999237060547,27.75,27.100000381469727,27.299999237060547,23.59949493408203,866505
2021-01-12,27.450000762939453,27.450000762939453,26.600000381469727,26.600000381469727,22.994380950927734,575150
2021-01-13,26.850000381469727,26.950000762939453,26.5,26.600000381469727,22.994380950927734,575011
2021-01-14,26.600000381469727,26.600000381469727,26.200000762939453,26.5,22.907934188842773,395000
2021-01-15,26.600000381469727,27.350000381469727,26.149999618530273,26.149999618530273,22.605377197265625,1709300
2021-01-18,26.100000381469727,26.350000381469727,25.299999237060547,26.25,22.691822052001953,605465
2021-01-19,26.25,28.850000381469727,26.25,28.850000381469727,24.93939208984375,5184113
2021-01-20,30.0,31.5,29.549999237060547,30.100000381469727,26.019956588745117,17058308
2021-01-21,30.100000381469727,30.100000381469727,27.350000381469727,27.700000762939453,23.945276260375977,5607764
2021-01-22,27.649999618530273,27.649999618530273,26.549999237060547,26.75,23.124048233032227,2180283
2021-01-25,26.75,27.399999618530273,26.299999237060547,27.100000381469727,23.426607131958008,1146027
2021-01-26,26.950000762939453,27.149999618530273,26.299999237060547,26.450000762939453,22.864713668823242,1001481
2021-01-27,26.5,26.700000762939453,25.950000762939453,26.0,22.4757080078125,857580
2021-01-28,25.799999237060547,26.450000762939453,25.549999237060547,26.049999237060547,22.518932342529297,674001
2021-01-29,26.450000762939453,26.799999237060547,26.0,26.0,22.4757080078125,881001
2021-02-01,26.0,26.25,25.600000381469727,25.649999618530273,22.17315101623535,451002
2021-02-02,25.899999618530273,26.25,25.649999618530273,25.899999618530273,22.389265060424805,357093
2021-02-03,26.049999237060547,26.399999618530273,26.049999237060547,26.200000762939453,22.648601531982422,292502
2021-02-04,26.299999237060547,26.299999237060547,25.950000762939453,26.100000381469727,22.56215476989746,336002
2021-02-05,26.100000381469727,26.100000381469727,25.799999237060547,26.0,22.4757080078125,329004
2021-02-17,26.25,26.899999618530273,26.200000762939453,26.799999237060547,23.167268753051758,685003
2021-02-18,26.700000762939453,27.399999618530273,26.700000762939453,27.149999618530273,23.46982765197754,811001
